leagueId,tier,number
045bcc90-0a95-11e8-ba96-c81f66db01ef,BRONZE,100
04660470-ffce-11e7-ba96-c81f66db01ef,SILVER,200
046772a0-fedf-11e7-972b-c81f66dacb22,SILVER,199
0467a5f0-050f-11e8-972b-c81f66dacb22,SILVER,201
046a4420-64ed-11e8-a52b-c81f66dd0e0d,SILVER,106
046c8620-fdf7-11e7-b792-c81f66dd2a8f,SILVER,200
0472dc10-2957-11e8-8044-c81f66dacb22,GOLD,200
0478e340-1f56-11e8-802e-c81f66dacb22,PLATINUM,102
0497e270-0095-11e8-8ef8-c81f66db01ef,SILVER,200
04a25510-076c-11e8-972b-c81f66dacb22,BRONZE,100
04a3f250-fed2-11e7-b792-c81f66dd2a8f,SILVER,202
04b02f90-004c-11e8-825d-c81f66dd0e0d,BRONZE,199
04b596b0-44bc-11e8-9312-c81f66dd2a8f,GOLD,161
04b73e90-2566-11e8-8044-c81f66dacb22,SILVER,131
04b87a20-09a6-11e8-825d-c81f66dd0e0d,SILVER,199
04c39960-6f4e-11e8-afc2-c81f66dacb22,GOLD,102
04c569e0-fae9-11e7-a5c8-c81f66db01ef,GOLD,200
04d73bb0-2d53-11e8-9312-c81f66dd2a8f,GOLD,200
04dd54c0-fd04-11e7-8ef8-c81f66db01ef,BRONZE,180
04e05ed0-1cbd-11e8-ba96-c81f66db01ef,BRONZE,101
04e3dd90-254a-11e8-8e8e-c81f66dd0e0d,SILVER,113
04e4bfe0-377d-11e8-8b69-c81f66db01ef,BRONZE,102
04ec4e80-015a-11e8-825d-c81f66dd0e0d,SILVER,201
04ecfea0-158e-11e8-bc14-c81f66db01ef,GOLD,200
04f5e490-001f-11e8-8ae2-c81f66dacb22,BRONZE,197
04fc93b0-0cf6-11e8-972b-c81f66dacb22,PLATINUM,121
04ff73c0-1fd7-11e8-8b69-c81f66db01ef,SILVER,200
050c0b40-305c-11e8-a859-c81f66dd0e0d,PLATINUM,200
050f1ba0-0050-11e8-972b-c81f66dacb22,SILVER,200
0517eed0-085f-11e8-b5a5-c81f66dd0e0d,SILVER,200
051f2250-012e-11e8-972b-c81f66dacb22,SILVER,206
05219ae0-0150-11e8-bc14-c81f66db01ef,BRONZE,115
052402d0-24a5-11e8-a859-c81f66dd0e0d,SILVER,200
0525db30-0201-11e8-8457-c81f66dd2a8f,BRONZE,200
052855d0-fed8-11e7-bc14-c81f66db01ef,GOLD,200
05300ea0-08f7-11e8-988f-c81f66dd2a8f,SILVER,200
053fd520-003b-11e8-988f-c81f66dd2a8f,BRONZE,200
0540fbc0-1a54-11e8-8457-c81f66dd2a8f,GOLD,199
0541d160-fd50-11e7-80ad-c81f66db01ef,BRONZE,200
05527220-252f-11e8-9312-c81f66dd2a8f,GOLD,200
05549680-0429-11e8-bc14-c81f66db01ef,GOLD,201
0554d230-6bf3-11e8-9516-c81f66dd0e0d,SILVER,107
055acb80-0920-11e8-988f-c81f66dd2a8f,BRONZE,198
056a0fa0-16c7-11e8-ba96-c81f66db01ef,SILVER,201
05726f40-62d2-11e8-882a-c81f66db01ef,PLATINUM,109
0577c770-6efc-11e8-afc2-c81f66dacb22,SILVER,101
057a0800-0138-11e8-825d-c81f66dd0e0d,SILVER,200
057db8a0-0445-11e8-8457-c81f66dd2a8f,SILVER,200
05807a40-55f3-11e8-915a-c81f66dd0e0d,SILVER,104
05824d60-0833-11e8-9419-c81f66dacb22,SILVER,201
05899c00-0815-11e8-bbb6-c81f66dacb22,BRONZE,200
058d38b0-6a71-11e8-a0cc-c81f66dd2a8f,SILVER,115
0590d730-1a59-11e8-9389-c81f66dd2a8f,SILVER,202
05968440-10dc-11e8-9419-c81f66dacb22,GOLD,200
059902a0-ff80-11e7-825d-c81f66dd0e0d,BRONZE,199
059fad70-23df-11e8-9007-c81f66db01ef,PLATINUM,200
05a2d2b0-fe38-11e7-972b-c81f66dacb22,SILVER,201
05a36240-fd64-11e7-b792-c81f66dd2a8f,SILVER,200
05a8c8b0-407c-11e8-abb7-c81f66dd0e0d,GOLD,115
05abed90-15a9-11e8-9389-c81f66dd2a8f,SILVER,200
05ac66c0-0466-11e8-825d-c81f66dd0e0d,SILVER,202
05b4d000-fcb7-11e7-8ef8-c81f66db01ef,SILVER,202
05b76c60-1fc7-11e8-bc81-c81f66dd2a8f,PLATINUM,201
05cbe2a0-fc84-11e7-b639-c81f66db01ef,BRONZE,179
05d2c3b0-fbc4-11e7-97bd-c81f66dd0e0d,GOLD,200
05d47710-350c-11e8-bdd0-c81f66db01ef,SILVER,200
05d684d0-0b89-11e8-9389-c81f66dd2a8f,BRONZE,199
05d8a8e0-ff6e-11e7-b5a5-c81f66dd0e0d,SILVER,199
06040860-fd2e-11e7-9389-c81f66dd2a8f,GOLD,200
06056900-03b2-11e8-9419-c81f66dacb22,SILVER,200
0605dd20-ff9f-11e7-9389-c81f66dd2a8f,SILVER,201
060ee3a0-08fc-11e8-b792-c81f66dd2a8f,SILVER,200
060ff040-26a4-11e8-a99a-c81f66db01ef,SILVER,114
06151ef0-076c-11e8-8457-c81f66dd2a8f,SILVER,200
063c5090-081d-11e8-bc14-c81f66db01ef,GOLD,203
0642c5d0-6b5d-11e8-8b0d-c81f66dd0e0d,GOLD,103
06490230-138b-11e8-bc14-c81f66db01ef,SILVER,201
064b8180-fe06-11e7-9419-c81f66dacb22,BRONZE,199
064f6b60-fe01-11e7-8ef8-c81f66db01ef,SILVER,200
065d7840-013a-11e8-8ae2-c81f66dacb22,PLATINUM,193
0661c100-05fb-11e8-9419-c81f66dacb22,BRONZE,200
06672690-05ab-11e8-9389-c81f66dd2a8f,SILVER,199
06709880-fdc0-11e7-988f-c81f66dd2a8f,BRONZE,197
0671c350-fcf7-11e7-bbb6-c81f66dacb22,BRONZE,200
06738a60-679a-11e8-9988-c81f66dd2a8f,SILVER,101
0673f640-fb83-11e7-bf4b-c81f66dacb22,SILVER,248
0674a210-fdbe-11e7-b8c2-c81f66dd0e0d,GOLD,202
067c2c00-0378-11e8-8744-c81f66dd0e0d,SILVER,202
067fea60-068a-11e8-b792-c81f66dd2a8f,GOLD,200
068647e0-061a-11e8-b792-c81f66dd2a8f,GOLD,201
0695a900-2128-11e8-8e8e-c81f66dd0e0d,DIAMOND,126
0697bcc0-2355-11e8-bc81-c81f66dd2a8f,SILVER,141
06a109e0-26ea-11e8-a801-c81f66dd0e0d,BRONZE,139
06a26720-0153-11e8-8457-c81f66dd2a8f,SILVER,203
06a8ed90-fd73-11e7-b792-c81f66dd2a8f,PLATINUM,200
06adaff0-0670-11e8-988f-c81f66dd2a8f,SILVER,250
06b6eeb0-6bfd-11e8-9516-c81f66dd0e0d,GOLD,107
06be62c0-38fa-11e8-a859-c81f66dd0e0d,GOLD,200
06c86f80-5151-11e8-b061-c81f66dd0e0d,PLATINUM,119
06caadb0-0cda-11e8-ba96-c81f66db01ef,SILVER,199
06d6e000-fcf2-11e7-825d-c81f66dd0e0d,BRONZE,199
06d773c0-2f5c-11e8-a99a-c81f66db01ef,SILVER,201
06dee220-4e3a-11e8-be05-c81f66dd2a8f,SILVER,102
06e3d920-39cb-11e8-a859-c81f66dd0e0d,SILVER,184
06e625f0-6e77-11e8-b4d3-c81f66dacb22,GOLD,108
06e882f0-ff05-11e7-b5a5-c81f66dd0e0d,GOLD,201
06eca460-5eba-11e8-b68b-c81f66db01ef,GOLD,123
06f3ea50-5649-11e8-8f62-c81f66dacb22,GOLD,201
06f97100-0757-11e8-825d-c81f66dd0e0d,GOLD,200
06fb9d20-ff02-11e7-b8c2-c81f66dd0e0d,SILVER,200
06ff5e00-fbde-11e7-9fed-c81f66dd0e0d,SILVER,200
07043810-fde3-11e7-8ef8-c81f66db01ef,SILVER,199
070d6a90-5d40-11e8-882a-c81f66db01ef,PLATINUM,101
070f4050-fdfe-11e7-972b-c81f66dacb22,SILVER,200
07147f00-163d-11e8-988f-c81f66dd2a8f,SILVER,199
071c0d80-feee-11e7-b5a5-c81f66dd0e0d,GOLD,200
0721ddf0-fb8d-11e7-964f-c81f66dd0e0d,PLATINUM,200
07222e80-1849-11e8-8ef8-c81f66db01ef,SILVER,200
0724a050-5793-11e8-b061-c81f66dd0e0d,GOLD,160
072dd1a0-2bad-11e8-853a-c81f66dd2a8f,GOLD,200
07310ca0-0a95-11e8-8457-c81f66dd2a8f,GOLD,200
073440d0-0259-11e8-9419-c81f66dacb22,SILVER,200
0734fc50-02d6-11e8-988f-c81f66dd2a8f,SILVER,201
07453150-18c1-11e8-ba96-c81f66db01ef,SILVER,200
0747c480-5208-11e8-b061-c81f66dd0e0d,GOLD,195
07539180-037e-11e8-8744-c81f66dd0e0d,SILVER,201
0754dd30-5d27-11e8-b90c-c81f66dacb22,SILVER,101
07589a20-1ed3-11e8-802e-c81f66dacb22,SILVER,201
076f9030-1812-11e8-988f-c81f66dd2a8f,SILVER,200
077392d0-0682-11e8-8ae2-c81f66dacb22,GOLD,201
0776df80-0aa6-11e8-988f-c81f66dd2a8f,SILVER,200
077f5850-fddf-11e7-988f-c81f66dd2a8f,BRONZE,200
07838e70-fc68-11e7-b402-c81f66db01ef,BRONZE,187
07876e80-4634-11e8-a031-c81f66dacb22,SILVER,112
0787dbb0-0230-11e8-8ef8-c81f66db01ef,BRONZE,200
07887760-1a2b-11e8-825d-c81f66dd0e0d,SILVER,194
078b91e0-fbb1-11e7-97c0-c81f66dd0e0d,SILVER,198
079a04e0-4720-11e8-8e8e-c81f66dd0e0d,SILVER,161
079c1040-001d-11e8-8ae2-c81f66dacb22,SILVER,200
07a49990-fb2c-11e7-964f-c81f66dd0e0d,GOLD,202
07a8f480-1a27-11e8-9419-c81f66dacb22,SILVER,201
07ae4c30-007f-11e8-8ae2-c81f66dacb22,SILVER,202
07b42260-fd7b-11e7-b792-c81f66dd2a8f,BRONZE,198
07be3f30-3ddf-11e8-853a-c81f66dd2a8f,GOLD,200
07c19580-ff60-11e7-972b-c81f66dacb22,SILVER,201
07c1eb30-612a-11e8-a52b-c81f66dd0e0d,SILVER,102
07c22480-fbac-11e7-b2ce-c81f66dacb22,SILVER,200
07c36d40-0903-11e8-b8c2-c81f66dd0e0d,SILVER,202
07e13a00-327a-11e8-8044-c81f66dacb22,SILVER,200
07f25b40-fe28-11e7-b792-c81f66dd2a8f,PLATINUM,198
080159f0-1693-11e8-bc14-c81f66db01ef,SILVER,200
080ce190-fb8a-11e7-bb35-c81f66dd2a8f,BRONZE,174
080d6a50-fb28-11e7-904d-c81f66db01ef,SILVER,200
0811e460-2fb0-11e8-a031-c81f66dacb22,SILVER,200
08187390-04fc-11e8-9389-c81f66dd2a8f,DIAMOND,200
0819add0-401d-11e8-802e-c81f66dacb22,SILVER,151
081c0ea0-febd-11e7-9419-c81f66dacb22,BRONZE,141
081ff020-fc55-11e7-bf4b-c81f66dacb22,SILVER,200
0827ec60-22d6-11e8-a031-c81f66dacb22,BRONZE,115
0828d290-fe3e-11e7-80ad-c81f66db01ef,GOLD,200
